id,titolo,descrizione,categoria,priorita,testo,categoria_prevista,priorita_stimata
1,Verifica di contratto,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Bassa,Verifica di contratto. Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Bassa
2,Segnalazione per email aziendale,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Media,Segnalazione per email aziendale. Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Alta
3,Richiesta di email aziendale,È necessaria assistenza per rete aziendale.,Commerciale,Alta,Richiesta di email aziendale. È necessaria assistenza per rete aziendale.,Commerciale,Media
4,Domanda su accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Media,Domanda su accesso al portale. Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Media
5,Domanda su stampante,È necessaria assistenza per email aziendale.,Commerciale,Media,Domanda su stampante. È necessaria assistenza per email aziendale.,Commerciale,Bassa
6,Verifica di fattura,È necessaria assistenza per rete aziendale.,Commerciale,Alta,Verifica di fattura. È necessaria assistenza per rete aziendale.,Amministrativo,Bassa
7,Richiesta di email aziendale,Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Alta,Richiesta di email aziendale. Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Media
8,Problema con rete aziendale,Richiesta di informazioni aggiuntive su software gestionale.,Commerciale,Media,Problema con rete aziendale. Richiesta di informazioni aggiuntive su software gestionale.,Commerciale,Alta
9,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta,Aggiornamento su pagamento. Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
10,Segnalazione per email aziendale,Richiesta di informazioni aggiuntive su pagamento.,Commerciale,Media,Segnalazione per email aziendale. Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Media
11,Assistenza su stampante,Il sistema segnala un errore relativo a fattura.,Amministrativo,Media,Assistenza su stampante. Il sistema segnala un errore relativo a fattura.,Amministrativo,Alta
12,Assistenza su ordine cliente,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Media,Assistenza su ordine cliente. Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Bassa
13,Problema con fattura,Si è verificato un problema durante l'utilizzo di pagamento.,Commerciale,Bassa,Problema con fattura. Si è verificato un problema durante l'utilizzo di pagamento.,Commerciale,Alta
14,Verifica di licenza scaduta,È necessaria assistenza per rete aziendale.,Commerciale,Media,Verifica di licenza scaduta. È necessaria assistenza per rete aziendale.,Commerciale,Bassa
15,Problema con stampante,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Bassa,Problema con stampante. Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Alta
16,Verifica di ordine cliente,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media,Verifica di ordine cliente. Il sistema segnala un errore relativo a software gestionale.,Commerciale,Alta
17,Segnalazione per rete aziendale,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Alta,Segnalazione per rete aziendale. Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Media
18,Aggiornamento su fattura,Il sistema segnala un errore relativo a ordine cliente.,Commerciale,Bassa,Aggiornamento su fattura. Il sistema segnala un errore relativo a ordine cliente.,Commerciale,Alta
19,Assistenza su stampante,Il sistema segnala un errore relativo a stampante.,Commerciale,Bassa,Assistenza su stampante. Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
20,Domanda su fattura,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Media,Domanda su fattura. Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
21,Assistenza su fattura,È necessaria assistenza per email aziendale.,Amministrativo,Media,Assistenza su fattura. È necessaria assistenza per email aziendale.,Amministrativo,Bassa
22,Domanda su software gestionale,Richiesta di informazioni aggiuntive su stampante.,Commerciale,Media,Domanda su software gestionale. Richiesta di informazioni aggiuntive su stampante.,Commerciale,Media
23,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di rete aziendale.,Tecnico,Media,Aggiornamento su pagamento. Si è verificato un problema durante l'utilizzo di rete aziendale.,Tecnico,Alta
24,Segnalazione per pagamento,Bisogna risolvere un malfunzionamento legato a email aziendale.,Amministrativo,Media,Segnalazione per pagamento. Bisogna risolvere un malfunzionamento legato a email aziendale.,Amministrativo,Bassa
25,Segnalazione per rete aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa,Segnalazione per rete aziendale. Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa
26,Domanda su contratto,Bisogna risolvere un malfunzionamento legato a fattura.,Tecnico,Alta,Domanda su contratto. Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Bassa
27,Errore durante licenza scaduta,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa,Errore durante licenza scaduta. Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Alta
28,Richiesta di contratto,È necessaria assistenza per fattura.,Amministrativo,Bassa,Richiesta di contratto. È necessaria assistenza per fattura.,Amministrativo,Media
29,Verifica di email aziendale,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Media,Verifica di email aziendale. Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Media
30,Richiesta di pagamento,Richiesta di informazioni aggiuntive su stampante.,Tecnico,Bassa,Richiesta di pagamento. Richiesta di informazioni aggiuntive su stampante.,Tecnico,Media
31,Aggiornamento su rete aziendale,Bisogna risolvere un malfunzionamento legato a contratto.,Commerciale,Alta,Aggiornamento su rete aziendale. Bisogna risolvere un malfunzionamento legato a contratto.,Commerciale,Bassa
32,Errore durante fattura,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta,Errore durante fattura. Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
33,Domanda su contratto,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Bassa,Domanda su contratto. Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Media
34,Aggiornamento su pagamento,Il sistema segnala un errore relativo a email aziendale.,Amministrativo,Alta,Aggiornamento su pagamento. Il sistema segnala un errore relativo a email aziendale.,Commerciale,Alta
35,Richiesta di contratto,Il sistema segnala un errore relativo a ordine cliente.,Amministrativo,Bassa,Richiesta di contratto. Il sistema segnala un errore relativo a ordine cliente.,Amministrativo,Alta
36,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta,Errore durante pagamento. Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta
37,Richiesta di ordine cliente,Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Bassa,Richiesta di ordine cliente. Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Media
38,Problema con fattura,Richiesta di informazioni aggiuntive su stampante.,Commerciale,Bassa,Problema con fattura. Richiesta di informazioni aggiuntive su stampante.,Commerciale,Alta
39,Errore durante contratto,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Bassa,Errore durante contratto. Il sistema segnala un errore relativo a email aziendale.,Tecnico,Alta
40,Segnalazione per pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Media,Segnalazione per pagamento. Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Alta
41,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a fattura.,Tecnico,Media,Richiesta di contratto. Bisogna risolvere un malfunzionamento legato a fattura.,Tecnico,Media
42,Aggiornamento su ordine cliente,Il sistema segnala un errore relativo a contratto.,Tecnico,Bassa,Aggiornamento su ordine cliente. Il sistema segnala un errore relativo a contratto.,Commerciale,Alta
43,Domanda su pagamento,Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Media,Domanda su pagamento. Richiesta di informazioni aggiuntive su rete aziendale.,Amministrativo,Media
44,Segnalazione per software gestionale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media,Segnalazione per software gestionale. Il sistema segnala un errore relativo a software gestionale.,Commerciale,Alta
45,Richiesta di software gestionale,Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Media,Richiesta di software gestionale. Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Media
46,Verifica di fattura,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Commerciale,Bassa,Verifica di fattura. Si è verificato un problema durante l'utilizzo di licenza scaduta.,Commerciale,Alta
47,Verifica di pagamento,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa,Verifica di pagamento. Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Alta
48,Aggiornamento su ordine cliente,Si è verificato un problema durante l'utilizzo di rete aziendale.,Commerciale,Bassa,Aggiornamento su ordine cliente. Si è verificato un problema durante l'utilizzo di rete aziendale.,Commerciale,Alta
49,Problema con software gestionale,Il sistema segnala un errore relativo a rete aziendale.,Tecnico,Bassa,Problema con software gestionale. Il sistema segnala un errore relativo a rete aziendale.,Tecnico,Alta
50,Assistenza su accesso al portale,Bisogna risolvere un malfunzionamento legato a contratto.,Commerciale,Bassa,Assistenza su accesso al portale. Bisogna risolvere un malfunzionamento legato a contratto.,Commerciale,Bassa
51,Domanda su rete aziendale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media,Domanda su rete aziendale. Il sistema segnala un errore relativo a software gestionale.,Commerciale,Alta
52,Assistenza su ordine cliente,È necessaria assistenza per rete aziendale.,Amministrativo,Alta,Assistenza su ordine cliente. È necessaria assistenza per rete aziendale.,Amministrativo,Bassa
53,Segnalazione per fattura,Richiesta di informazioni aggiuntive su software gestionale.,Amministrativo,Alta,Segnalazione per fattura. Richiesta di informazioni aggiuntive su software gestionale.,Amministrativo,Media
54,Verifica di contratto,Si è verificato un problema durante l'utilizzo di email aziendale.,Commerciale,Media,Verifica di contratto. Si è verificato un problema durante l'utilizzo di email aziendale.,Commerciale,Alta
55,Assistenza su licenza scaduta,Si è verificato un problema durante l'utilizzo di accesso al portale.,Tecnico,Media,Assistenza su licenza scaduta. Si è verificato un problema durante l'utilizzo di accesso al portale.,Tecnico,Alta
56,Assistenza su contratto,Richiesta di informazioni aggiuntive su fattura.,Tecnico,Bassa,Assistenza su contratto. Richiesta di informazioni aggiuntive su fattura.,Tecnico,Media
57,Domanda su email aziendale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa,Domanda su email aziendale. Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Media
58,Domanda su contratto,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa,Domanda su contratto. Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Media
59,Errore durante fattura,Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Bassa,Errore durante fattura. Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Alta
60,Assistenza su licenza scaduta,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Amministrativo,Bassa,Assistenza su licenza scaduta. Si è verificato un problema durante l'utilizzo di licenza scaduta.,Amministrativo,Alta
61,Aggiornamento su stampante,Richiesta di informazioni aggiuntive su rete aziendale.,Commerciale,Bassa,Aggiornamento su stampante. Richiesta di informazioni aggiuntive su rete aziendale.,Amministrativo,Media
62,Aggiornamento su rete aziendale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Media,Aggiornamento su rete aziendale. Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Alta
63,Verifica di rete aziendale,Richiesta di informazioni aggiuntive su contratto.,Tecnico,Media,Verifica di rete aziendale. Richiesta di informazioni aggiuntive su contratto.,Tecnico,Media
64,Problema con fattura,È necessaria assistenza per licenza scaduta.,Tecnico,Bassa,Problema con fattura. È necessaria assistenza per licenza scaduta.,Commerciale,Alta
65,Segnalazione per software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Alta,Segnalazione per software gestionale. Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Media
66,Segnalazione per software gestionale,È necessaria assistenza per ordine cliente.,Tecnico,Media,Segnalazione per software gestionale. È necessaria assistenza per ordine cliente.,Tecnico,Bassa
67,Problema con accesso al portale,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media,Problema con accesso al portale. Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Alta
68,Segnalazione per fattura,È necessaria assistenza per stampante.,Commerciale,Bassa,Segnalazione per fattura. È necessaria assistenza per stampante.,Commerciale,Bassa
69,Verifica di email aziendale,Si è verificato un problema durante l'utilizzo di accesso al portale.,Tecnico,Media,Verifica di email aziendale. Si è verificato un problema durante l'utilizzo di accesso al portale.,Tecnico,Alta
70,Segnalazione per licenza scaduta,Il sistema segnala un errore relativo a ordine cliente.,Amministrativo,Media,Segnalazione per licenza scaduta. Il sistema segnala un errore relativo a ordine cliente.,Amministrativo,Alta
71,Assistenza su stampante,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media,Assistenza su stampante. Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media
72,Segnalazione per fattura,È necessaria assistenza per contratto.,Tecnico,Alta,Segnalazione per fattura. È necessaria assistenza per contratto.,Tecnico,Bassa
73,Problema con contratto,È necessaria assistenza per accesso al portale.,Commerciale,Media,Problema con contratto. È necessaria assistenza per accesso al portale.,Commerciale,Alta
74,Errore durante fattura,Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Media,Errore durante fattura. Richiesta di informazioni aggiuntive su ordine cliente.,Amministrativo,Alta
75,Assistenza su accesso al portale,È necessaria assistenza per stampante.,Commerciale,Bassa,Assistenza su accesso al portale. È necessaria assistenza per stampante.,Commerciale,Bassa
76,Segnalazione per rete aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa,Segnalazione per rete aziendale. Bisogna risolvere un malfunzionamento legato a software gestionale.,Tecnico,Bassa
77,Richiesta di fattura,Il sistema segnala un errore relativo a pagamento.,Commerciale,Media,Richiesta di fattura. Il sistema segnala un errore relativo a pagamento.,Amministrativo,Alta
78,Verifica di licenza scaduta,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Alta,Verifica di licenza scaduta. Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Media
79,Richiesta di ordine cliente,Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Bassa,Richiesta di ordine cliente. Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Media
80,Errore durante fattura,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta,Errore durante fattura. Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
81,Richiesta di stampante,Si è verificato un problema durante l'utilizzo di software gestionale.,Tecnico,Media,Richiesta di stampante. Si è verificato un problema durante l'utilizzo di software gestionale.,Tecnico,Alta
82,Assistenza su contratto,Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Bassa,Assistenza su contratto. Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Bassa
83,Segnalazione per email aziendale,Bisogna risolvere un malfunzionamento legato a pagamento.,Tecnico,Media,Segnalazione per email aziendale. Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Bassa
84,Domanda su stampante,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Media,Domanda su stampante. Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Bassa
85,Errore durante software gestionale,Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Media,Errore durante software gestionale. Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Alta
86,Richiesta di fattura,Si è verificato un problema durante l'utilizzo di pagamento.,Tecnico,Media,Richiesta di fattura. Si è verificato un problema durante l'utilizzo di pagamento.,Tecnico,Alta
87,Segnalazione per rete aziendale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Tecnico,Bassa,Segnalazione per rete aziendale. Bisogna risolvere un malfunzionamento legato a accesso al portale.,Tecnico,Bassa
88,Verifica di fattura,Bisogna risolvere un malfunzionamento legato a fattura.,Amministrativo,Alta,Verifica di fattura. Bisogna risolvere un malfunzionamento legato a fattura.,Amministrativo,Bassa
89,Domanda su accesso al portale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Bassa,Domanda su accesso al portale. Il sistema segnala un errore relativo a software gestionale.,Commerciale,Alta
90,Domanda su stampante,Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta,Domanda su stampante. Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta
91,Domanda su pagamento,È necessaria assistenza per fattura.,Commerciale,Bassa,Domanda su pagamento. È necessaria assistenza per fattura.,Tecnico,Bassa
92,Problema con stampante,Il sistema segnala un errore relativo a accesso al portale.,Amministrativo,Bassa,Problema con stampante. Il sistema segnala un errore relativo a accesso al portale.,Amministrativo,Alta
