id,titolo,descrizione,categoria,priorita
1,Verifica di contratto,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Bassa
2,Segnalazione per email aziendale,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Media
3,Richiesta di email aziendale,È necessaria assistenza per rete aziendale.,Commerciale,Alta
4,Domanda su accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Commerciale,Media
5,Domanda su stampante,È necessaria assistenza per email aziendale.,Commerciale,Media
6,Verifica di fattura,È necessaria assistenza per rete aziendale.,Commerciale,Alta
7,Richiesta di email aziendale,Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Alta
8,Problema con rete aziendale,Richiesta di informazioni aggiuntive su software gestionale.,Commerciale,Media
9,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
10,Segnalazione per email aziendale,Richiesta di informazioni aggiuntive su pagamento.,Commerciale,Media
11,Assistenza su stampante,Il sistema segnala un errore relativo a fattura.,Amministrativo,Media
12,Assistenza su ordine cliente,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Media
13,Problema con fattura,Si è verificato un problema durante l'utilizzo di pagamento.,Commerciale,Bassa
14,Verifica di licenza scaduta,È necessaria assistenza per rete aziendale.,Commerciale,Media
15,Problema con stampante,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Bassa
16,Verifica di ordine cliente,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media
17,Segnalazione per rete aziendale,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Alta
18,Aggiornamento su fattura,Il sistema segnala un errore relativo a ordine cliente.,Commerciale,Bassa
19,Assistenza su stampante,Il sistema segnala un errore relativo a stampante.,Commerciale,Bassa
20,Domanda su fattura,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Media
21,Assistenza su fattura,È necessaria assistenza per email aziendale.,Amministrativo,Media
22,Domanda su software gestionale,Richiesta di informazioni aggiuntive su stampante.,Commerciale,Media
23,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di rete aziendale.,Tecnico,Media
24,Segnalazione per pagamento,Bisogna risolvere un malfunzionamento legato a email aziendale.,Amministrativo,Media
25,Segnalazione per rete aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa
26,Domanda su contratto,Bisogna risolvere un malfunzionamento legato a fattura.,Tecnico,Alta
27,Errore durante licenza scaduta,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa
28,Richiesta di contratto,È necessaria assistenza per fattura.,Amministrativo,Bassa
29,Verifica di email aziendale,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Media
30,Richiesta di pagamento,Richiesta di informazioni aggiuntive su stampante.,Tecnico,Bassa
31,Aggiornamento su rete aziendale,Bisogna risolvere un malfunzionamento legato a contratto.,Commerciale,Alta
32,Errore durante fattura,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
33,Domanda su contratto,Richiesta di informazioni aggiuntive su pagamento.,Amministrativo,Bassa
34,Aggiornamento su pagamento,Il sistema segnala un errore relativo a email aziendale.,Amministrativo,Alta
35,Richiesta di contratto,Il sistema segnala un errore relativo a ordine cliente.,Amministrativo,Bassa
36,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta
37,Richiesta di ordine cliente,Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Bassa
38,Problema con fattura,Richiesta di informazioni aggiuntive su stampante.,Commerciale,Bassa
39,Errore durante contratto,Il sistema segnala un errore relativo a email aziendale.,Tecnico,Bassa
40,Segnalazione per pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Media
41,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a fattura.,Tecnico,Media
42,Aggiornamento su ordine cliente,Il sistema segnala un errore relativo a contratto.,Tecnico,Bassa
43,Domanda su pagamento,Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Media
44,Segnalazione per software gestionale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media
45,Richiesta di software gestionale,Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Media
46,Verifica di fattura,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Commerciale,Bassa
47,Verifica di pagamento,Il sistema segnala un errore relativo a licenza scaduta.,Amministrativo,Bassa
48,Aggiornamento su ordine cliente,Si è verificato un problema durante l'utilizzo di rete aziendale.,Commerciale,Bassa
49,Problema con software gestionale,Il sistema segnala un errore relativo a rete aziendale.,Tecnico,Bassa
50,Assistenza su accesso al portale,Bisogna risolvere un malfunzionamento legato a contratto.,Commerciale,Bassa
51,Domanda su rete aziendale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Media
52,Assistenza su ordine cliente,È necessaria assistenza per rete aziendale.,Amministrativo,Alta
53,Segnalazione per fattura,Richiesta di informazioni aggiuntive su software gestionale.,Amministrativo,Alta
54,Verifica di contratto,Si è verificato un problema durante l'utilizzo di email aziendale.,Commerciale,Media
55,Assistenza su licenza scaduta,Si è verificato un problema durante l'utilizzo di accesso al portale.,Tecnico,Media
56,Assistenza su contratto,Richiesta di informazioni aggiuntive su fattura.,Tecnico,Bassa
57,Domanda su email aziendale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa
58,Domanda su contratto,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Bassa
59,Errore durante fattura,Richiesta di informazioni aggiuntive su rete aziendale.,Tecnico,Bassa
60,Assistenza su licenza scaduta,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Amministrativo,Bassa
61,Aggiornamento su stampante,Richiesta di informazioni aggiuntive su rete aziendale.,Commerciale,Bassa
62,Aggiornamento su rete aziendale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Media
63,Verifica di rete aziendale,Richiesta di informazioni aggiuntive su contratto.,Tecnico,Media
64,Problema con fattura,È necessaria assistenza per licenza scaduta.,Tecnico,Bassa
65,Segnalazione per software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Alta
66,Segnalazione per software gestionale,È necessaria assistenza per ordine cliente.,Tecnico,Media
67,Problema con accesso al portale,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media
68,Segnalazione per fattura,È necessaria assistenza per stampante.,Commerciale,Bassa
69,Verifica di email aziendale,Si è verificato un problema durante l'utilizzo di accesso al portale.,Tecnico,Media
70,Segnalazione per licenza scaduta,Il sistema segnala un errore relativo a ordine cliente.,Amministrativo,Media
71,Assistenza su stampante,Richiesta di informazioni aggiuntive su email aziendale.,Amministrativo,Media
72,Segnalazione per fattura,È necessaria assistenza per contratto.,Tecnico,Alta
73,Problema con contratto,È necessaria assistenza per accesso al portale.,Commerciale,Media
74,Errore durante fattura,Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Media
75,Assistenza su accesso al portale,È necessaria assistenza per stampante.,Commerciale,Bassa
76,Segnalazione per rete aziendale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Bassa
77,Richiesta di fattura,Il sistema segnala un errore relativo a pagamento.,Commerciale,Media
78,Verifica di licenza scaduta,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Alta
79,Richiesta di ordine cliente,Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Bassa
80,Errore durante fattura,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Alta
81,Richiesta di stampante,Si è verificato un problema durante l'utilizzo di software gestionale.,Tecnico,Media
82,Assistenza su contratto,Bisogna risolvere un malfunzionamento legato a stampante.,Tecnico,Bassa
83,Segnalazione per email aziendale,Bisogna risolvere un malfunzionamento legato a pagamento.,Tecnico,Media
84,Domanda su stampante,Bisogna risolvere un malfunzionamento legato a licenza scaduta.,Commerciale,Media
85,Errore durante software gestionale,Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Media
86,Richiesta di fattura,Si è verificato un problema durante l'utilizzo di pagamento.,Tecnico,Media
87,Segnalazione per rete aziendale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Tecnico,Bassa
88,Verifica di fattura,Bisogna risolvere un malfunzionamento legato a fattura.,Amministrativo,Alta
89,Domanda su accesso al portale,Il sistema segnala un errore relativo a software gestionale.,Commerciale,Bassa
90,Domanda su stampante,Si è verificato un problema durante l'utilizzo di fattura.,Tecnico,Alta
91,Domanda su pagamento,È necessaria assistenza per fattura.,Commerciale,Bassa
92,Problema con stampante,Il sistema segnala un errore relativo a accesso al portale.,Amministrativo,Bassa
93,Verifica di stampante,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Media
94,Richiesta di software gestionale,È necessaria assistenza per ordine cliente.,Amministrativo,Media
95,Domanda su software gestionale,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Media
96,Richiesta di stampante,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Media
97,Verifica di fattura,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Bassa
98,Domanda su software gestionale,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Bassa
99,Richiesta di accesso al portale,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Bassa
100,Verifica di stampante,Il sistema segnala un errore relativo a ordine cliente.,Tecnico,Media
101,Segnalazione per ordine cliente,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Bassa
102,Errore durante rete aziendale,È necessaria assistenza per pagamento.,Amministrativo,Bassa
103,Aggiornamento su rete aziendale,Bisogna risolvere un malfunzionamento legato a fattura.,Commerciale,Alta
104,Verifica di accesso al portale,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa
105,Aggiornamento su software gestionale,Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Bassa
106,Aggiornamento su ordine cliente,È necessaria assistenza per ordine cliente.,Amministrativo,Bassa
107,Aggiornamento su pagamento,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Alta
108,Verifica di accesso al portale,Si è verificato un problema durante l'utilizzo di accesso al portale.,Commerciale,Bassa
109,Errore durante software gestionale,È necessaria assistenza per software gestionale.,Tecnico,Media
110,Assistenza su pagamento,Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta
111,Domanda su accesso al portale,Il sistema segnala un errore relativo a accesso al portale.,Commerciale,Media
112,Richiesta di rete aziendale,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Bassa
113,Richiesta di stampante,Richiesta di informazioni aggiuntive su fattura.,Commerciale,Media
114,Verifica di email aziendale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Commerciale,Bassa
115,Verifica di fattura,Si è verificato un problema durante l'utilizzo di contratto.,Tecnico,Alta
116,Domanda su rete aziendale,È necessaria assistenza per licenza scaduta.,Commerciale,Alta
117,Assistenza su software gestionale,Bisogna risolvere un malfunzionamento legato a software gestionale.,Amministrativo,Alta
118,Richiesta di licenza scaduta,Bisogna risolvere un malfunzionamento legato a pagamento.,Amministrativo,Media
119,Assistenza su pagamento,Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Bassa
120,Segnalazione per fattura,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Amministrativo,Bassa
121,Problema con email aziendale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Amministrativo,Alta
122,Errore durante licenza scaduta,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Bassa
123,Segnalazione per stampante,Richiesta di informazioni aggiuntive su ordine cliente.,Tecnico,Media
124,Aggiornamento su software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Media
125,Richiesta di accesso al portale,Il sistema segnala un errore relativo a software gestionale.,Amministrativo,Media
126,Assistenza su ordine cliente,Richiesta di informazioni aggiuntive su ordine cliente.,Commerciale,Bassa
127,Errore durante contratto,Si è verificato un problema durante l'utilizzo di pagamento.,Commerciale,Media
128,Domanda su stampante,Richiesta di informazioni aggiuntive su fattura.,Amministrativo,Bassa
129,Problema con email aziendale,Si è verificato un problema durante l'utilizzo di fattura.,Amministrativo,Media
130,Aggiornamento su licenza scaduta,Il sistema segnala un errore relativo a pagamento.,Commerciale,Alta
131,Domanda su pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Bassa
132,Assistenza su email aziendale,Bisogna risolvere un malfunzionamento legato a ordine cliente.,Amministrativo,Alta
133,Assistenza su software gestionale,È necessaria assistenza per software gestionale.,Amministrativo,Alta
134,Domanda su email aziendale,Richiesta di informazioni aggiuntive su pagamento.,Tecnico,Bassa
135,Domanda su licenza scaduta,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Bassa
136,Aggiornamento su contratto,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Bassa
137,Errore durante accesso al portale,Si è verificato un problema durante l'utilizzo di email aziendale.,Amministrativo,Bassa
138,Errore durante email aziendale,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Alta
139,Richiesta di contratto,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Bassa
140,Errore durante pagamento,Richiesta di informazioni aggiuntive su software gestionale.,Tecnico,Bassa
141,Problema con licenza scaduta,È necessaria assistenza per pagamento.,Commerciale,Bassa
142,Aggiornamento su contratto,Il sistema segnala un errore relativo a ordine cliente.,Commerciale,Bassa
143,Assistenza su licenza scaduta,Richiesta di informazioni aggiuntive su fattura.,Tecnico,Bassa
144,Domanda su stampante,Il sistema segnala un errore relativo a pagamento.,Tecnico,Bassa
145,Assistenza su contratto,Si è verificato un problema durante l'utilizzo di contratto.,Commerciale,Media
146,Problema con ordine cliente,Si è verificato un problema durante l'utilizzo di stampante.,Amministrativo,Media
147,Segnalazione per email aziendale,Il sistema segnala un errore relativo a rete aziendale.,Amministrativo,Media
148,Assistenza su ordine cliente,Si è verificato un problema durante l'utilizzo di licenza scaduta.,Tecnico,Bassa
149,Domanda su accesso al portale,Richiesta di informazioni aggiuntive su accesso al portale.,Tecnico,Alta
150,Segnalazione per ordine cliente,Il sistema segnala un errore relativo a pagamento.,Tecnico,Bassa
151,Domanda su fattura,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Media
152,Problema con accesso al portale,Il sistema segnala un errore relativo a licenza scaduta.,Commerciale,Media
153,Richiesta di accesso al portale,Richiesta di informazioni aggiuntive su licenza scaduta.,Amministrativo,Media
154,Assistenza su software gestionale,Si è verificato un problema durante l'utilizzo di ordine cliente.,Tecnico,Media
155,Problema con fattura,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Media
156,Richiesta di software gestionale,Il sistema segnala un errore relativo a pagamento.,Amministrativo,Bassa
157,Assistenza su stampante,Il sistema segnala un errore relativo a stampante.,Commerciale,Bassa
158,Verifica di stampante,Richiesta di informazioni aggiuntive su accesso al portale.,Amministrativo,Media
159,Richiesta di stampante,Richiesta di informazioni aggiuntive su licenza scaduta.,Commerciale,Alta
160,Aggiornamento su licenza scaduta,È necessaria assistenza per ordine cliente.,Tecnico,Media
161,Aggiornamento su accesso al portale,Il sistema segnala un errore relativo a rete aziendale.,Commerciale,Alta
162,Domanda su rete aziendale,Richiesta di informazioni aggiuntive su contratto.,Amministrativo,Bassa
163,Richiesta di contratto,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Bassa
164,Verifica di rete aziendale,È necessaria assistenza per rete aziendale.,Tecnico,Bassa
165,Verifica di email aziendale,È necessaria assistenza per software gestionale.,Commerciale,Bassa
166,Errore durante fattura,Bisogna risolvere un malfunzionamento legato a stampante.,Amministrativo,Media
167,Assistenza su fattura,È necessaria assistenza per rete aziendale.,Commerciale,Alta
168,Aggiornamento su accesso al portale,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Media
169,Errore durante pagamento,Si è verificato un problema durante l'utilizzo di accesso al portale.,Amministrativo,Bassa
170,Aggiornamento su accesso al portale,È necessaria assistenza per software gestionale.,Tecnico,Media
171,Verifica di pagamento,Il sistema segnala un errore relativo a stampante.,Commerciale,Alta
172,Errore durante licenza scaduta,È necessaria assistenza per accesso al portale.,Commerciale,Bassa
173,Segnalazione per stampante,Si è verificato un problema durante l'utilizzo di stampante.,Tecnico,Bassa
174,Problema con email aziendale,Bisogna risolvere un malfunzionamento legato a rete aziendale.,Commerciale,Media
175,Problema con software gestionale,Richiesta di informazioni aggiuntive su licenza scaduta.,Tecnico,Bassa
176,Verifica di stampante,Si è verificato un problema durante l'utilizzo di fattura.,Commerciale,Bassa
177,Aggiornamento su pagamento,Si è verificato un problema durante l'utilizzo di email aziendale.,Tecnico,Bassa
178,Problema con ordine cliente,Richiesta di informazioni aggiuntive su email aziendale.,Commerciale,Bassa
179,Problema con contratto,È necessaria assistenza per email aziendale.,Commerciale,Media
180,Aggiornamento su stampante,Bisogna risolvere un malfunzionamento legato a accesso al portale.,Commerciale,Alta
